date,series,value
2011-04-01,Exports Ratio,0.24128983370946075
2011-07-01,Exports Ratio,0.24830991150262213
2011-10-01,Exports Ratio,0.24856570180568188
2012-01-01,Exports Ratio,0.2435074756095913
2012-04-01,Exports Ratio,0.2402102229597143
2012-07-01,Exports Ratio,0.2945931125736744
2012-10-01,Exports Ratio,0.222119099976631
2013-01-01,Exports Ratio,0.22882818051231957
2013-04-01,Exports Ratio,0.24020917492181304
2013-07-01,Exports Ratio,0.2782413414043881
2013-10-01,Exports Ratio,0.24888067387798754
2014-01-01,Exports Ratio,0.2503023989088293
2014-04-01,Exports Ratio,0.2425533126926503
2014-07-01,Exports Ratio,0.2380851795647272
2014-10-01,Exports Ratio,0.23002798069724303
2015-01-01,Exports Ratio,0.21028136221716162
2015-04-01,Exports Ratio,0.20696311887749821
2015-07-01,Exports Ratio,0.20474501621840718
2015-10-01,Exports Ratio,0.1948372069366308
2016-01-01,Exports Ratio,0.1874757981235109
2016-04-01,Exports Ratio,0.1936369625920326
2016-07-01,Exports Ratio,0.1920254920768946
2016-10-01,Exports Ratio,0.19182658961596116
2017-01-01,Exports Ratio,0.18913536078606244
2017-04-01,Exports Ratio,0.18920712920108207
2017-07-01,Exports Ratio,0.18877037440901234
2017-10-01,Exports Ratio,0.18833103576353058
2018-01-01,Exports Ratio,0.18562565244380966
2018-04-01,Exports Ratio,0.19063765285526982
2018-07-01,Exports Ratio,0.19871257830476693
2018-10-01,Exports Ratio,0.20197467296138996
2019-01-01,Exports Ratio,0.20583801008832756
2019-04-01,Exports Ratio,0.1859763955396982
2019-07-01,Exports Ratio,0.1875983746610762
2019-10-01,Exports Ratio,0.18594838216989468
2020-01-01,Exports Ratio,0.17822052991680734
2020-04-01,Exports Ratio,0.19259370619209182
2020-07-01,Exports Ratio,0.1964418141962935
2020-10-01,Exports Ratio,0.1757252539409179
2021-01-01,Exports Ratio,0.18827209753357974
2011-04-01,Imports Ratio,0.30645250645402444
2011-07-01,Imports Ratio,0.3138241267296512
2011-10-01,Imports Ratio,0.32065433990726416
2012-01-01,Imports Ratio,0.3029142313684535
2012-04-01,Imports Ratio,0.30947020739108555
2012-07-01,Imports Ratio,0.34111694119417135
2012-10-01,Imports Ratio,0.31343473899237306
2013-01-01,Imports Ratio,0.2897889714362163
2013-04-01,Imports Ratio,0.2995136752843235
2013-07-01,Imports Ratio,0.3081262805271811
2013-10-01,Imports Ratio,0.2683157128269338
2014-01-01,Imports Ratio,0.26527956814323633
2014-04-01,Imports Ratio,0.27471123817670695
2014-07-01,Imports Ratio,0.27532539541498224
2014-10-01,Imports Ratio,0.2626298406653013
2015-01-01,Imports Ratio,0.22869637756651742
2015-04-01,Imports Ratio,0.23368812001945924
2015-07-01,Imports Ratio,0.23697980337475388
2015-10-01,Imports Ratio,0.2181916025193195
2016-01-01,Imports Ratio,0.19835876302020133
2016-04-01,Imports Ratio,0.2088843490229193
2016-07-01,Imports Ratio,0.21335888668340208
2016-10-01,Imports Ratio,0.21880209136154524
2017-01-01,Imports Ratio,0.1968253252446241
2017-04-01,Imports Ratio,0.22762349949585872
2017-07-01,Imports Ratio,0.21109041084370667
2017-10-01,Imports Ratio,0.2235507924523265
2018-01-01,Imports Ratio,0.21621566885932864
2018-04-01,Imports Ratio,0.23154094406905362
2018-07-01,Imports Ratio,0.24482005604703141
2018-10-01,Imports Ratio,0.2440988828027565
2019-01-01,Imports Ratio,0.22761361502702918
2019-04-01,Imports Ratio,0.22328699116704218
2019-07-01,Imports Ratio,0.214526019529367
2019-10-01,Imports Ratio,0.20571766374905465
2020-01-01,Imports Ratio,0.19656390509038457
2020-04-01,Imports Ratio,0.17275400719331063
2020-07-01,Imports Ratio,0.18568663962724785
2020-10-01,Imports Ratio,0.19006805636087065
2021-01-01,Imports Ratio,0.21055628845437216
