year,value
2021,4295760000.0
2020,4048600000.0
2019,4019150000.0
2018,3974520000.0
2017,3914030000.0
2016,3888200000.0
2015,3998340000.0
2014,4136330000.0
2013,4244259410.2230597
2012,4117269005.52549
2011,3889610961.62815
2010,3490082595.22772
2009,3250029260.1850796
2008,3006049423.72758
2007,2904101164.74166
2006,2706394452.73094
2005,2433754386.92635
2004,2121618270.0387301
2003,1837602369.29935
2002,1535844994.7880101
2001,1430628772.96188
2000,1356896527.9252203
